"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_768","cell",2621,1570,0,"1","1"
"cell_769","cell",2615,1670,0.0382409177820268,"0","0"
"cell_770","cell",2617,1998,0.0382116927779901,"5","5"
"cell_771","cell",2617,1207,0.19105846388995,"6","6"
"cell_772","cell",2613,1406,0.0765403750478377,"2","2"
"cell_773","cell",2608,1492,0.0383435582822086,"0","0"
"cell_774","cell",2612,1305,0.114854517611026,"3","3"
"cell_775","cell",2608,1644,0.0383435582822086,"0","0"
"cell_776","cell",2598,1583,0.0384911470361817,"7","7"
"cell_777","cell",2603,1299,0,"1","1"
"cell_778","cell",2600,1610,0.0769230769230769,"0","0"
"cell_779","cell",2596,1508,0,"5","5"
"cell_780","cell",2603,1207,0,"6","6"
"cell_781","cell",2598,1593,0,"2","2"
"cell_782","cell",2595,1567,0,"3","3"
"cell_783","cell",2592,1542,0.154320987654321,"2","2"
"cell_784","cell",2590,1413,0.347490347490347,"3","3"
"cell_785","cell",2592,1585,0.0771604938271605,"1","1"
"cell_786","cell",2593,1368,0.0385653682992673,"1","1"
"cell_787","cell",2586,1574,0.0773395204949729,"0","0"
"cell_788","cell",2584,1472,0,"1","1"
"cell_789","cell",2573,1463,0.0777302759424796,"1","1"
"cell_790","cell",2569,1653,0.0389256520046711,"9","9"
"cell_791","cell",2575,1567,0,"7","7"
"cell_792","cell",2574,1385,0.0388500388500388,"3","3"
"cell_793","cell",2573,1511,0.0388651379712398,"5","5"
"cell_794","cell",2568,1291,0.0389408099688473,"6","6"
"cell_795","cell",2566,1627,0.0779423226812159,"2","2"
"cell_796","cell",2560,1551,0.2734375,"1","1"
"cell_797","cell",2567,1602,0.155823918971562,"0","0"
"cell_798","cell",2563,1502,0,"5","5"
"cell_799","cell",2564,1348,0.0390015600624025,"0","0"
"cell_800","cell",2562,1363,0,"0","0"
"cell_801","cell",2560,1458,0,"0","0"
"cell_802","cell",2561,1481,0.0390472471690746,"0","0"
"cell_803","cell",2558,1397,0.156372165754496,"6","6"
"cell_804","cell",2555,1546,0.156555772994129,"3","3"
"cell_805","cell",2552,1566,0.744514106583072,"4","4"
"cell_806","cell",2554,1623,0.0783085356303837,"0","0"
